Well identifier,Surface,MD,Prod
A10,Top_Tarbert,1754.67,Oil
A10,Bot_Tarbert,1807.02,Oil
A10,Tarbert2,1829.32,Dry
A10,Bot_Tarbert2,1842.11,
A10,Tarbert1,1843.91,Dry
A10,Bot_Tarbert1,1852.7,
A10,Top_Ness,1856.4,Oil
A10,Bot_Ness,1878.07,
A10,Top_Etive,1926.08,Dry
A10,Bot_Etive,1961.83,
A15,Top_Tarbert,1879.35,Oil
A15,Bot_Tarbert,1883.33,
A15,Tarbert2,1885.48,Dry
A15,Bot_Tarbert2,1902.95,
A15,Tarbert1,1905.73,Dry
A15,Bot_Tarbert1,1920.09,
A15,Top_Ness,1922.59,Oil
A15,Bot_Ness,1992.22,
A15,Top_Etive,2074.52,Dry
A15,Bot_Etive,2082.78,
A16,Top_Tarbert,1805.47,Oil
A16,Bot_Tarbert,1810.83,
A16,Tarbert2,1815.92,Dry
A16,Bot_Tarbert2,1829.07,
A16,Tarbert1,1839.55,Dry
A16,Bot_Tarbert1,1859.93,
A16,Top_Ness,1875.86,Oil
A16,Bot_Ness,1936.51,
A16,Top_Etive,2006.71,Dry
A16,Bot_Etive,2038.35,
B2,Top_Tarbert,2012.93,Oil
B2,Bot_Tarbert,2016.35,
B2,Tarbert2,2019.2,Dry
B2,Tarbert1,2039.69,Dry
B2,Bot_Tarbert1,2081.06,
B2,Top_Ness,2120.32,Oil
B2,Bot_Ness,2140.62,
B2,Top_Etive,2199.49,Dry
B2,Bot_Etive,2226.67,
B4,Top_Tarbert,2063.6,Oil
B4,Bot_Tarbert,2069.51,
B4,Tarbert2,2086.65,Dry
B4,Bot_Tarbert2,2111.8,
B4,Tarbert1,2124.52,Dry
B4,Bot_Tarbert1,2203.68,
B4,Top_Ness,2208.97,Oil
B4,Bot_Ness,2239.05,
B4,Top_Etive,2306.79,Dry
B4,Bot_Etive,2346.42,
B8,Top_Tarbert,1886.8,Oil
B8,Bot_Tarbert,1892.71,
B8,Tarbert2,1907.98,Dry
B8,Bot_Tarbert2,1962.37,
B8,Tarbert1,1990.16,Dry
B8,Bot_Tarbert1,2011.75,
B8,Top_Ness,2014.71,Oil
B8,Bot_Ness,2104.75,
B8,Top_Etive,2195.16,Dry
B8,Bot_Etive,2215.41,
B9,Top_Tarbert,1836.97,Oil
B9,Bot_Tarbert,1844.26,
B9,Tarbert2,1859.81,Dry
B9,Bot_Tarbert2,1878.82,
B9,Tarbert1,1885.43,Dry
B9,Bot_Tarbert1,1919.81,
B9,Top_Ness,1961.26,Oil
B9,Top_Ness,1963.26,Oil
B9,Bot_Ness,1971.26,
B9,Top_Etive,2017.73,Dry
B9,Bot_Etive,2025.99,
C1,Top_Tarbert,2013.62,Oil
C1,Bot_Tarbert,2042.18,
C1,Tarbert2,2053.17,Dry
C1,Bot_Tarbert2,2064.36,
C1,Tarbert1,2081.79,Dry
C1,Bot_Tarbert1,2119.36,
C1,Top_Ness,2158.29,Oil
C1,Bot_Ness,2178.39,
C1,Top_Etive,2237.5,Dry
C1,Bot_Etive,2255.95,
C2,Top_Tarbert,2041.87,Oil
C2,Bot_Tarbert,2059.11,
C2,Tarbert2,2067.94,Dry
C2,Bot_Tarbert2,2132.37,
C2,Tarbert1,2137.78,Dry
C2,Bot_Tarbert1,2187.1,
C2,Top_Ness,2192.14,Oil
C2,Bot_Ness,2266.43,
C2,Top_Etive,2320.63,Dry
C2,Bot_Etive,2338.88,
C3,Top_Tarbert,2019.82,Oil
C3,Bot_Tarbert,2042.87,
C3,Tarbert2,2097.3,Dry
C3,Bot_Tarbert2,2106.94,
C3,Tarbert1,2110.34,Dry
C3,Bot_Tarbert1,2151.11,
C3,Top_Ness,2191.67,Oil
C3,Bot_Ness,2212.64,
C3,Top_Etive,2278.78,Dry
C3,Bot_Etive,2296.83,
C4,Top_Tarbert,2212.59,Oil
C4,Bot_Tarbert,2244.21,
C4,Tarbert2,2249.66,Dry
C4,Bot_Tarbert2,2299.47,
C4,Tarbert1,2320.05,Dry
C4,Bot_Tarbert1,2357.9,
C4,Top_Ness,2363.39,Oil
C4,Bot_Ness,2421.14,
C4,Top_Etive,2478.61,Dry
C4,Bot_Etive,2499.46,
C5,Top_Tarbert,1971.28,Oil
C5,Bot_Tarbert,1984.1,
C5,Tarbert2,1990.36,Dry
C5,Bot_Tarbert2,2038.01,
C5,Tarbert1,2041.03,Dry
C5,Bot_Tarbert1,2063.29,
C5,Top_Ness,2074.78,Oil
C5,Bot_Ness,2129.56,
C5,Top_Etive,2194.3,Dry
C5,Bot_Etive,2215.95,
C6,Top_Tarbert,2092.97,Oil
C6,Bot_Tarbert,2108,
C6,Tarbert2,2111.52,Dry
C6,Bot_Tarbert2,2140.9,
C6,Tarbert1,2143.7,Dry
C6,Bot_Tarbert1,2168.2,
C6,Top_Ness,2172.49,Oil
C6,Bot_Ness,2217.37,
C6,Top_Etive,2268.78,Dry
C6,Bot_Etive,2302.42,
C7,Top_Tarbert,2067.96,Oil
C7,Bot_Tarbert,2083.55,
C7,Tarbert2,2085.87,Dry
C7,Bot_Tarbert2,2141.87,
C7,Tarbert1,2144.59,Dry
C7,Bot_Tarbert1,2164.82,
C7,Top_Ness,2168.91,Oil
C7,Bot_Ness,2226.65,
C7,Top_Etive,2292.87,Dry
C7,Bot_Etive,2324.11,
